universe	number	name
v5	14	mknod
v5	15	chmod
v5	16	chown
v5	17	break
v5	18	stat
v5	19	seek
v5	20	getpid
v5	21	mount
v5	22	umount
v5	23	setuid
v5	24	getuid
v5	25	stime
v5	26	x
v5	27	x
v5	28	fstat
v5	29	x
v5	30	smdate
v5	31	stty
v5	32	gtty
v5	33	x
v5	34	nice
v5	35	sleep
v5	36	sync
v5	37	kill
v5	38	switch
v5	39	x
v5	40	x
v5	41	dup
v5	42	pipe
v5	43	times
v5	44	prof
v5	45	tiu
v5	46	setgid
v5	47	getgid
v5	48	sig
v5	49	x
v5	50	x
v5	51	x
v5	52	x
v5	53	x
v5	54	x
v5	55	x
v5	56	x
v5	57	x
v5	58	x
v5	59	x
v5	60	x
v5	61	x
v5	62	x
v5	63	x
v6	0	indir
v6	1	exit
v6	2	fork
v6	3	read
v6	4	write
v6	5	open
v6	6	close
v6	7	wait
v6	8	creat
v6	9	link
v6	10	unlink
v6	11	exec
v6	12	chdir
v6	13	time
v6	14	mknod
v6	15	chmod
v6	16	chown
v6	17	break
v6	18	stat
v6	19	seek
v6	20	getpid
v6	21	mount
v6	22	umount
v6	23	setuid
v6	24	getuid
v6	25	stime
v6	26	ptrace
v6	27	x
v6	28	fstat
v6	29	x
v6	31	stty
v6	32	gtty
v6	33	x
v6	34	nice
v6	35	sleep
v6	36	sync
v6	37	kill
v6	38	switch
v6	39	x
v6	40	x
v6	41	dup
v6	42	pipe
v6	43	times
v6	44	prof
v6	45	tiu
v6	46	setgid
v6	47	getgid
v6	48	sig
v6	49	x
v6	50	x
v6	51	x
v6	52	x
v6	53	x
v6	54	x
v6	55	x
v6	56	x
v6	57	x
v6	58	x
v6	59	x
v6	60	x
v6	61	x
v6	62	x
v6	63	x
v7	0	indir
v7	1	exit
v7	2	fork
v7	3	read
v7	4	write
v7	5	open
v7	6	close
v7	7	wait
v7	8	creat
v7	9	link
v7	10	unlink
v7	11	exec
v7	12	chdir
v7	13	time
v7	14	mknod
v7	15	chmod
v7	17	break
v7	18	stat
v7	20	getpid
v7	21	mount
v7	22	umount
v7	23	setuid
v7	24	getuid
v7	25	stime
v7	26	ptrace
v7	27	alarm
v7	28	fstat
v7	29	pause
v7	30	utime
v7	31	stty
v7	32	gtty
v7	33	access
v7	34	nice
v7	36	sync
v7	37	kill
v7	41	dup
v7	42	pipe
v7	43	times
v7	44	prof
v7	45	unused
v7	46	setgid
v7	47	getgid
v7	48	sig
v7	49	reserved
v7	50	reserved
v7	51	turn
v7	52	set
v7	53	lock
v7	54	ioctl
v7	56	creat
v7	57	reserved
v7	58	reserved
v7	59	exece
v7	60	umask
v7	61	chroot
v7	62	x
v7	63	used
